Event H-ID,Text pointer H-ID,Text pointer RecordTitle
2931,25,Sunlight on a Broken Column
2936,25,Sunlight on a Broken Column
2938,25,Sunlight on a Broken Column
2947,25,Sunlight on a Broken Column
2948,25,Sunlight on a Broken Column
2949,25,Sunlight on a Broken Column
2951,25,Sunlight on a Broken Column
2954,25,Sunlight on a Broken Column
2955,25,Sunlight on a Broken Column
2956,25,Sunlight on a Broken Column
2957,37,Pinjar
2958,37,Pinjar
2959,37,Pinjar
2960,37,Pinjar
2965,37,Pinjar
2966,37,Pinjar
2967,37,Pinjar
2968,37,Pinjar
2979,25,Sunlight on a Broken Column
2980,25,Sunlight on a Broken Column
2981,25,Sunlight on a Broken Column
2982,25,Sunlight on a Broken Column
2983,25,Sunlight on a Broken Column
2984,25,Sunlight on a Broken Column
2985,25,Sunlight on a Broken Column
2986,25,Sunlight on a Broken Column
2987,25,Sunlight on a Broken Column
2988,25,Sunlight on a Broken Column
2997,37,Pinjar
2998,37,Pinjar
2999,37,Pinjar
3000,37,Pinjar
3001,37,Pinjar
3002,37,Pinjar
3003,37,Pinjar
3004,37,Pinjar
3005,37,Pinjar
3006,37,Pinjar
3007,37,Pinjar
3008,37,Pinjar
3009,37,Pinjar
3010,37,Pinjar
3021,28,Train to Pakistan
3026,28,Train to Pakistan
3027,28,Train to Pakistan
3028,28,Train to Pakistan
3029,28,Train to Pakistan
3030,28,Train to Pakistan
3046,37,Pinjar
3092,37,Pinjar
3093,37,Pinjar
3094,37,Pinjar
3095,37,Pinjar
3096,37,Pinjar
3171,3170,A New Taj Mahal
3276,3205,Colder Than Ice
3314,3205,Colder Than Ice
3336,3205,Colder Than Ice
3352,3205,Colder Than Ice
3365,3205,Colder Than Ice
3422,3238,The Assignment
3428,3238,The Assignment
3429,3238,The Assignment
3430,3238,The Assignment
3433,3238,The Assignment
3435,3238,The Assignment
3436,3238,The Assignment
3437,3238,The Assignment
3439,3238,The Assignment
3441,3238,The Assignment
3446,3238,The Assignment
3456,3238,The Assignment
3461,3238,The Assignment
3480,3292,The Dog of Titwal
3481,3292,The Dog of Titwal
3482,3292,The Dog of Titwal
3483,3292,The Dog of Titwal
3484,3292,The Dog of Titwal
3487,3292,The Dog of Titwal
3490,3292,The Dog of Titwal
3491,3292,The Dog of Titwal
3493,3292,The Dog of Titwal
3494,3292,The Dog of Titwal
3496,3292,The Dog of Titwal
3497,3292,The Dog of Titwal
3499,3292,The Dog of Titwal
3501,3292,The Dog of Titwal
3502,3292,The Dog of Titwal
3505,3292,The Dog of Titwal
3506,3292,The Dog of Titwal
3509,3292,The Dog of Titwal
3511,3292,The Dog of Titwal
3514,3206,Savage Harvest
3515,3292,The Dog of Titwal
3516,3292,The Dog of Titwal
3522,3206,Savage Harvest
3526,3206,Savage Harvest
3527,3206,Savage Harvest
3529,3206,Savage Harvest
3533,3206,Savage Harvest
3534,3206,Savage Harvest
3535,3206,Savage Harvest
3537,3206,Savage Harvest
3539,3206,Savage Harvest
3540,3206,Savage Harvest
3544,3206,Savage Harvest
3545,3206,Savage Harvest
3546,3206,Savage Harvest
3547,3206,Savage Harvest
3561,3421,The Price of Freedom
3563,3421,The Price of Freedom
3565,3421,The Price of Freedom
3566,3421,The Price of Freedom
3568,3421,The Price of Freedom
3571,3421,The Price of Freedom
3572,3421,The Price of Freedom
3580,3212,Toba Tek Singh
3604,3212,Toba Tek Singh
3609,3212,Toba Tek Singh
3629,3212,Toba Tek Singh
3634,3584,Gul Mohammad Third-Timer
3635,3584,Gul Mohammad Third-Timer
3636,3584,Gul Mohammad Third-Timer
3638,3584,Gul Mohammad Third-Timer
3639,3584,Gul Mohammad Third-Timer
3642,3584,Gul Mohammad Third-Timer
3644,3584,Gul Mohammad Third-Timer
3645,3584,Gul Mohammad Third-Timer
3646,3584,Gul Mohammad Third-Timer
3647,3212,Toba Tek Singh
3648,3584,Gul Mohammad Third-Timer
3649,3584,Gul Mohammad Third-Timer
3654,3584,Gul Mohammad Third-Timer
3655,3584,Gul Mohammad Third-Timer
3656,3584,Gul Mohammad Third-Timer
3659,3584,Gul Mohammad Third-Timer
3660,3584,Gul Mohammad Third-Timer
3661,3584,Gul Mohammad Third-Timer
3667,3584,Gul Mohammad Third-Timer
3677,3212,Toba Tek Singh
3680,3212,Toba Tek Singh
3683,3212,Toba Tek Singh
3686,3212,Toba Tek Singh
3689,3212,Toba Tek Singh
3690,3212,Toba Tek Singh
3696,3212,Toba Tek Singh
3699,3212,Toba Tek Singh
3703,3212,Toba Tek Singh
3717,3716,The Last Salute
3728,3574,Mozail
3754,3384,The Dutiful Daughter
3756,3384,The Dutiful Daughter
3757,3384,The Dutiful Daughter
3758,3384,The Dutiful Daughter
3761,3574,Mozail
3762,3384,The Dutiful Daughter
3763,3384,The Dutiful Daughter
3766,3574,Mozail
3772,3574,Mozail
3776,3574,Mozail
3777,3574,Mozail
3778,3574,Mozail
3779,3574,Mozail
3780,3574,Mozail
3781,3574,Mozail
3782,3574,Mozail
3783,3574,Mozail
3784,3574,Mozail
3785,3574,Mozail
3786,3574,Mozail
3788,3574,Mozail
3789,3574,Mozail
3790,3574,Mozail
3791,3574,Mozail
3792,3574,Mozail
3793,3574,Mozail
3794,3574,Mozail
3795,3574,Mozail
3796,3574,Mozail
3798,3574,Mozail
3799,3574,Mozail
3801,3574,Mozail
3802,3574,Mozail
3806,3574,Mozail
3808,3574,Mozail
3811,3574,Mozail
3816,3212,Toba Tek Singh
3817,3212,Toba Tek Singh
3818,3212,Toba Tek Singh
3819,3212,Toba Tek Singh
3822,3212,Toba Tek Singh
3825,3212,Toba Tek Singh
3828,3716,The Last Salute
3873,3180,The Woman in the Red Raincoat
3878,3231,The Return
3879,3231,The Return
3881,3231,The Return
3883,3231,The Return
3884,3180,The Woman in the Red Raincoat
3887,3231,The Return
3888,3180,The Woman in the Red Raincoat
3891,3180,The Woman in the Red Raincoat
3892,3180,The Woman in the Red Raincoat
3893,3180,The Woman in the Red Raincoat
3894,3180,The Woman in the Red Raincoat
3895,3180,The Woman in the Red Raincoat
3897,3231,The Return
3898,3180,The Woman in the Red Raincoat
3899,3180,The Woman in the Red Raincoat
3912,3231,The Return
3916,3231,The Return
3957,3938,The Crimson Tonga
3976,3966,Proper Use
3986,3979,Sweet Moment
3987,3979,Sweet Moment
3988,3979,Sweet Moment
3995,3990,FOR NECESSARY ACTION
4000,3990,FOR NECESSARY ACTION
4001,3990,FOR NECESSARY ACTION
4017,4002,The Butcher
4019,4002,The Butcher
4026,4002,The Butcher
4027,4002,The Butcher
4028,4002,The Butcher
4030,4002,The Butcher
4031,4002,The Butcher
4032,4002,The Butcher
4039,4002,The Butcher
4040,4002,The Butcher
4071,3990,FOR NECESSARY ACTION
4072,3990,FOR NECESSARY ACTION
4073,3990,FOR NECESSARY ACTION
4074,3990,FOR NECESSARY ACTION
4075,3990,FOR NECESSARY ACTION
4076,3990,FOR NECESSARY ACTION
4125,3979,Sweet Moment
4129,3979,Sweet Moment
4132,3979,Sweet Moment
4138,4080,A Tale of 1947
4139,4080,A Tale of 1947
4140,4080,A Tale of 1947
4143,4080,A Tale of 1947
4144,4080,A Tale of 1947
4147,4080,A Tale of 1947
4149,4080,A Tale of 1947
4152,4080,A Tale of 1947
4155,4080,A Tale of 1947
4160,4080,A Tale of 1947
4163,4080,A Tale of 1947
4164,4080,A Tale of 1947
4166,4080,A Tale of 1947
4171,4048,Sympathy
4174,4048,Sympathy
4178,4048,Sympathy
4180,4048,Sympathy
4181,4048,Sympathy
4182,4048,Sympathy
4183,4048,Sympathy
4184,4048,Sympathy
4185,4048,Sympathy
4186,4048,Sympathy
4187,4048,Sympathy
4188,4048,Sympathy
4189,4048,Sympathy
4190,4048,Sympathy
4191,4048,Sympathy
4196,4048,Sympathy
4197,4048,Sympathy
4200,4048,Sympathy
4201,4048,Sympathy
4202,4048,Sympathy
4203,4048,Sympathy
4349,3281,Jathedar Mukand Singh
4352,3281,Jathedar Mukand Singh
4353,3281,Jathedar Mukand Singh
4357,3281,Jathedar Mukand Singh
4359,3281,Jathedar Mukand Singh
4361,3281,Jathedar Mukand Singh
4428,3281,Jathedar Mukand Singh
4429,3281,Jathedar Mukand Singh
4430,3281,Jathedar Mukand Singh
4431,3281,Jathedar Mukand Singh
4432,3281,Jathedar Mukand Singh
4433,3281,Jathedar Mukand Singh
4434,3281,Jathedar Mukand Singh
4435,3281,Jathedar Mukand Singh
4439,4381,Sikhism
4440,4381,Sikhism
4442,4381,Sikhism
4444,4381,Sikhism
4446,4381,Sikhism
4450,4381,Sikhism
4455,4443,Cooperation
4456,4381,Sikhism
4457,4443,Cooperation
4458,4443,Cooperation
4459,4381,Sikhism
4460,4443,Cooperation
4461,4381,Sikhism
4462,4443,Cooperation
4463,4381,Sikhism
4464,4443,Cooperation
4465,4443,Cooperation
4466,4381,Sikhism
4467,4443,Cooperation
4470,4381,Sikhism
4476,4469,Division
4477,4469,Division
4478,4381,Sikhism
4479,4469,Division
4480,4469,Division
4481,4469,Division
4482,4469,Division
4502,4042,Ek Onkar Satnam - 1935
4503,4042,Ek Onkar Satnam - 1935
4508,4042,Ek Onkar Satnam - 1935
4509,4042,Ek Onkar Satnam - 1935
4510,4042,Ek Onkar Satnam - 1935
4511,4042,Ek Onkar Satnam - 1935
4512,4042,Ek Onkar Satnam - 1935
4513,4042,Ek Onkar Satnam - 1935
4514,4042,Ek Onkar Satnam - 1935
4517,4042,Ek Onkar Satnam - 1935
4518,4042,Ek Onkar Satnam - 1935
4519,4042,Ek Onkar Satnam - 1935
4520,4042,Ek Onkar Satnam - 1935
4521,4042,Ek Onkar Satnam - 1935
4522,4042,Ek Onkar Satnam - 1935
4540,4204,Jinnah Sahib
4541,4204,Jinnah Sahib
4542,4204,Jinnah Sahib
4543,4204,Jinnah Sahib
4544,4204,Jinnah Sahib
4547,4204,Jinnah Sahib
4550,4204,Jinnah Sahib
4551,4204,Jinnah Sahib
4552,4204,Jinnah Sahib
4554,4204,Jinnah Sahib
4556,4204,Jinnah Sahib
4557,4204,Jinnah Sahib
4558,4204,Jinnah Sahib
4559,4204,Jinnah Sahib
4560,4204,Jinnah Sahib
4561,4204,Jinnah Sahib
4562,4204,Jinnah Sahib
4563,4204,Jinnah Sahib
4564,4204,Jinnah Sahib
4565,4204,Jinnah Sahib
4566,4204,Jinnah Sahib
4567,4204,Jinnah Sahib
4568,4204,Jinnah Sahib
4569,4204,Jinnah Sahib
4571,4204,Jinnah Sahib
4572,4204,Jinnah Sahib
4589,4042,Ek Onkar Satnam - 1935
4590,4042,Ek Onkar Satnam - 1935
4595,4042,Ek Onkar Satnam - 1935
4596,4042,Ek Onkar Satnam - 1935
4598,4042,Ek Onkar Satnam - 1935
4599,4042,Ek Onkar Satnam - 1935
